Name	chromosome	min	max	logratio	annotation
1	1	849467	249224684	0.203296194168	gain
1	2	12771	242783384	0.207136032874	gain
1	3	61892	197851986	-0.0366362353665	normal
1	4	68346	190957473	-0.0341666047414	normal
1	5	113577	180719789	0.212610905804	gain
1	6	156975	170919482	0.212783716826	gain
1	7	43361	159119707	0.221577211097	gain
1	8	158049	146295771	-0.0220727157057	normal
1	9	203862	141020389	-0.0337249462647	normal
1	10	100027	135427143	0.0696863497137	normal
1	11	230616	134938470	-0.0292564370815	normal
1	12	173787	133777902	0.204728904406	gain
1	13	19436287	115107733	0.207480317547	gain
1	14	20511673	107285437	-0.0352718829735	normal
1	15	22770422	102429112	-0.0346456325993	normal
1	16	85881	90155062	-0.019421416994	normal
1	17	526	81041938	0.392164071891	gain
1	18	136227	78014123	0.216245619786	gain
1	19	260912	58956888	-0.00925866039653	normal
1	20	61569	62915555	-0.0239358832501	normal
1	21	15006458	48097372	-0.034307923141	normal
1	22	16888900	51197838	-0.013952850611	normal
1	23	168547	135677858	-0.0145192535676	normal
2	1	849467	231259181	0.00447419113547	normal
2	1	231259181	249224684	-0.381816495259	loss
2	2	12771	242783384	-0.000767904249396	normal
2	3	61892	197851986	-0.00179922102218	normal
2	4	68346	42718461	-0.43204675791	loss
2	4	42718461	190957473	-0.000675484738088	normal
2	5	113577	180719789	0.0018374297483	normal
2	6	156975	28818158	0.62963818535	gain
2	6	28818158	132855663	0.00649296147108	normal
2	6	132855663	170919482	-0.423791963993	loss
2	7	43361	159119707	0.00640199289248	normal
2	8	158049	22506123	-0.377239791672	loss
2	8	22506123	39238536	0.0108249368591	normal
2	8	39238536	39387859	-1.89721341558	loss
2	8	39387859	146295771	0.00270202126564	normal
2	9	203862	38238359	-0.411044471969	loss
2	9	38238359	141020389	0.00365795155084	normal
2	10	100027	135427143	0.00950993939007	normal
2	11	230616	83668105	0.00306898649718	normal
2	11	83668105	134938470	-0.404433128671	loss
2	12	173787	133777902	-0.000436707839541	normal
2	13	19436287	115107733	0.00915863465938	normal
2	14	20511673	107285437	-0.000248339386159	normal
2	15	22770422	102429112	0.000614287404664	normal
2	16	85881	90155062	0.00458516576483	normal
2	17	526	40672647	-0.004850344774	normal
2	17	40672647	47052858	0.281040184919	gain
2	17	47052858	65718028	0.485247952725	gain
2	17	65718028	81041938	0.0034909923238	normal
2	18	136227	78014123	0.0204285650771	normal
2	19	260912	24459216	-0.00704513133682	normal
2	19	24459216	31793468	-0.422267398605	loss
2	19	31793468	42723918	-0.00933307996333	normal
2	19	42723918	53280617	-0.427016155339	loss
2	19	53280617	57751171	-0.0157663482956	normal
2	19	57751171	57951623	-1.23464613793	loss
2	19	57951623	58956888	-0.417826074654	loss
2	20	61569	62915555	0.00684749808001	normal
2	21	15006458	48097372	-0.0035888184414	normal
2	22	16888900	51197838	-0.000258965401086	normal
2	23	168547	135677858	-0.521014553479	loss
3	1	849467	11590641	-0.237408789307	normal
3	1	11590641	231606726	0.0202878423921	normal
3	1	231606726	249224684	-0.240380372302	normal
3	2	12771	37740909	0.269238114751	gain
3	2	37740909	242783384	-0.0127524615292	normal
3	3	61892	50187985	-0.422008932376	loss
3	3	50187985	197851986	-0.0145281531942	normal
3	4	68346	3336068	-0.018102968314	normal
3	4	3336068	49091567	-0.430846836101	loss
3	4	49091567	190957473	-0.0132235839538	normal
3	5	113577	180719789	-0.0155546534328	normal
3	6	156975	170919482	-0.013675241827	normal
3	7	43361	159119707	0.062250781743	normal
3	8	158049	146295771	-0.01101947735	normal
3	9	203862	141020389	-0.0100603940987	normal
3	10	100027	8015602	-0.197130470237	normal
3	10	8015602	8455947	0.10451613468	normal
3	10	8455947	38677822	-0.184739912376	normal
3	10	38677822	135427143	-0.00654083580242	normal
3	11	230616	66251937	-0.0139506927146	normal
3	11	66251937	85287108	0.181840336991	gain
3	11	85287108	134938470	-0.411555467465	loss
3	12	173787	56299486	-0.0221733155247	normal
